t,θ
1.041100000e1,-4.315231965e1
1.051110000e1,-4.267051873e1
1.061120000e1,-4.433561301e1
1.071130000e1,-4.680735439e1
1.081140000e1,-4.824078685e1
1.091150000e1,-4.886025139e1
1.101171100e1,-5.007057034e1
1.111181100e1,-5.091118824e1
1.121191100e1,-5.225862994e1
1.131201100e1,-5.300168278e1
1.141211100e1,-5.423674954e1
1.151221100e1,-5.504989301e1
1.161231100e1,-5.606278902e1
1.171241100e1,-5.658966944e1
1.181251100e1,-5.563280981e1
1.191261100e1,-5.563280981e1
1.201271100e1,-5.766873963e1
1.211281100e1,-5.811726379e1
1.221291100e1,-5.999391645e1
1.231301100e1,-6.082144371e1
1.241311100e1,-6.079964134e1
1.251321100e1,-6.095118916e1
1.261331100e1,-6.115083052e1
1.271341100e1,-6.393019596e1
1.281362200e1,-6.620142974e1
1.291372200e1,-6.752785087e1
1.301382200e1,-6.962795989e1
1.311392200e1,-7.150156980e1
1.321402200e1,-7.153111504e1
1.331412200e1,-7.045805576e1
1.341422200e1,-6.979430040e1
1.351432200e1,-7.075117089e1
1.361442200e1,-7.284098549e1
1.371452200e1,-7.149105256e1
1.381462200e1,-7.422343135e1
1.391472200e1,-7.553488921e1
1.401482200e1,-7.582375111e1
1.411492200e1,-7.582375111e1
1.421502200e1,-7.456248356e1
1.431512200e1,-7.656175008e1
1.441522200e1,-7.658236561e1
1.451543400e1,-7.712490790e1
1.461553400e1,-7.864749634e1
1.471563400e1,-8.016369674e1
1.481573400e1,-8.124002717e1
1.491583400e1,-8.016369674e1
1.501593400e1,-7.935536915e1
1.511603400e1,-8.034213368e1
1.521613400e1,-7.925964160e1
1.531623400e1,-7.865767993e1
1.541633400e1,-7.811331893e1
1.551643400e1,-7.798648572e1
1.561653400e1,-7.825507282e1
1.571663400e1,-7.985791395e1
1.581673400e1,-8.113747907e1
1.591683400e1,-8.139700243e1
1.601693400e1,-8.141354348e1
1.611703400e1,-8.080149086e1
1.621713400e1,-8.113504946e1
1.631723400e1,-8.084569647e1
1.641733400e1,-8.173596967e1
1.651743400e1,-8.246105047e1
1.661753400e1,-8.360086171e1
1.671774500e1,-8.360086171e1
1.681785600e1,-8.421610364e1
1.691796700e1,-8.502563535e1
1.701806700e1,-8.584773669e1
1.711816700e1,-8.720557519e1
